time(UTC),temp_air,relative_humidity,ghi,dni,dhi,IR(h),wind_speed,wind_direction,pressure
2015-01-01 17:00:00+08:00,4.52,64.09,258.0,178.34,184.0,251.45,3.54,220.0,93567.0
2015-01-01 18:00:00+08:00,5.68,59.42,353.0,223.47,238.0,246.82,3.37,229.0,93476.0
2015-01-01 19:00:00+08:00,6.85,54.74,390.0,214.15,269.0,242.18,3.2,237.0,93384.0
2015-01-01 20:00:00+08:00,8.01,50.07,224.0,21.32,212.0,237.55,3.03,245.0,93293.0
2015-01-01 21:00:00+08:00,7.82,50.62,313.0,147.67,238.0,234.48,2.86,257.0,93280.0
2015-01-01 22:00:00+08:00,7.63,51.16,424.0,895.5,62.0,231.42,2.69,268.0,93268.0
2015-01-01 23:00:00+08:00,7.44,51.71,250.0,776.5,49.0,228.35,2.51,279.0,93256.0
2015-01-02 00:00:00+08:00,6.1,59.08,62.0,440.69,25.0,227.17,2.64,300.0,93308.0
2024-05-28 00:00:00+08:00,24.9,77.93,0.0,0.0,0.0,447.44490125673036,2.9913,44.286,878.98
2024-05-28 00:15:00+08:00,24.825,78.3925,0.0,0.0,0.0,446.9946989014542,2.7703,44.0812,878.9425
2024-05-28 00:30:00+08:00,24.75,78.855,0.0,0.0,0.0,446.5448363642671,2.5492,43.8765,878.905
2024-05-28 00:45:00+08:00,24.675,79.3175,0.0,0.0,0.0,446.0953134741267,2.3282,43.6717,878.8675
2024-05-28 01:00:00+08:00,24.6,79.78,0.0,0.0,0.0,445.64613006003395,2.1072,43.4669,878.83
2024-05-28 01:15:00+08:00,24.525,80.29,0.0,0.0,0.0,445.1972859510324,1.8865,42.9664,878.76
2024-05-28 01:30:00+08:00,24.45,80.8,0.0,0.0,0.0,444.74878097620973,1.6657,42.4659,878.69
2024-05-28 01:45:00+08:00,24.375,81.31,0.0,0.0,0.0,444.30061496469557,1.445,41.9654,878.62
2024-05-28 02:00:00+08:00,24.3,81.82,0.0,0.0,0.0,443.852787745663,1.2242,41.4649,878.55
2024-05-28 02:15:00+08:00,24.225,81.8975,0.0,0.0,0.0,443.40529914832825,1.1828,41.2075,878.4875
2024-05-28 02:30:00+08:00,24.15,81.975,0.0,0.0,0.0,442.9581490019502,1.1415,40.9501,878.425
2024-05-28 02:45:00+08:00,24.075,82.0525,0.0,0.0,0.0,442.51133713583164,1.1001,40.6926,878.3625
2024-05-28 03:00:00+08:00,24.0,82.13,0.0,0.0,0.0,442.06486337931767,1.0588,40.4352,878.3
2024-05-28 03:15:00+08:00,23.95,82.1425,0.0,0.0,0.0,441.76740196272306,1.0176,40.0827,878.2575
2024-05-28 03:30:00+08:00,23.9,82.155,0.0,0.0,0.0,441.4700906906945,0.9764,39.7302,878.215
2024-05-28 03:45:00+08:00,23.85,82.1675,0.0,0.0,0.0,441.17292951269997,0.9351,39.3776,878.1725
2024-05-28 04:00:00+08:00,23.8,82.18,0.0,0.0,0.0,440.8759183782148,0.8939,39.0251,878.13
2024-05-28 04:15:00+08:00,23.75,82.175,0.0,0.0,0.0,440.57905723672394,0.8529,38.5136,878.085
2024-05-28 04:30:00+08:00,23.7,82.17,0.0,0.0,0.0,440.28234603772034,0.8119,38.002,878.04
2024-05-28 04:45:00+08:00,23.65,82.165,0.0,0.0,0.0,439.98578473070563,0.7708,37.4905,877.995
2024-05-28 05:00:00+08:00,23.6,82.16,0.0,0.0,0.0,439.6893732651902,0.7298,36.9789,877.95
2024-05-28 05:15:00+08:00,23.625,82.175,0.0,0.0,0.0,439.83756027091584,0.7696,35.6836,878.0075
2024-05-28 05:30:00+08:00,23.65,82.19,0.0,0.0,0.0,439.98578473070563,0.8095,34.3883,878.065
2024-05-28 05:45:00+08:00,23.675,82.205,0.0,0.0,0.0,440.13404665087035,0.8494,33.093,878.1225
2024-05-28 06:00:00+08:00,23.7,82.22,0.0,0.0,0.0,440.28234603772034,0.8892,31.7977,878.18
2024-05-28 06:15:00+08:00,23.75,82.0825,0.0,0.0,0.0,440.57905723672394,0.9303,30.9011,878.25
2024-05-28 06:30:00+08:00,23.8,81.945,0.6501,0.0,0.6501,440.8759183782148,0.9714,30.0045,878.32
2024-05-28 06:45:00+08:00,23.85,81.8075,7.9305,0.0,7.9305,441.17292951269997,1.0125,29.108,878.39
2024-05-28 07:00:00+08:00,23.9,81.67,22.9059,0.0,22.9059,441.4700906906945,1.0536,28.2114,878.46
2024-05-28 07:15:00+08:00,24.0,81.155,42.3331,0.0,42.3331,442.06486337931767,1.0955,27.5587,878.535
2024-05-28 07:30:00+08:00,24.1,80.64,64.2719,0.0,64.2719,442.66023684837774,1.1373,26.906,878.61
2024-05-28 07:45:00+08:00,24.2,80.125,87.7479,0.0,87.7479,443.256211502304,1.1791,26.2532,878.685
2024-05-28 08:00:00+08:00,24.3,79.61,112.2176,0.0,112.2176,443.852787745663,1.221,25.6005,878.76
2024-05-28 08:15:00+08:00,24.625,78.25,134.6327,2.0659,132.5668,445.7958201557243,0.9675,28.9096,878.8075
2024-05-28 08:30:00+08:00,24.95,76.89,156.5097,4.246,152.2637,447.74522503255986,0.714,32.2186,878.855
2024-05-28 08:45:00+08:00,25.275,75.53,177.6635,6.231,171.4325,449.7010162939363,0.4605,35.5277,878.9025
2024-05-28 09:00:00+08:00,25.6,74.17,197.9484,8.0144,189.934,451.66320787280273,0.207,38.8368,878.95
2024-05-28 09:15:00+08:00,25.975,72.4975,217.245,9.605,207.64,453.93524635800213,0.3611,78.8753,878.9625
2024-05-28 09:30:00+08:00,26.35,70.825,235.4523,11.0174,224.4349,456.2158459985437,0.5153,118.9137,878.975
2024-05-28 09:45:00+08:00,26.725,69.1525,252.4841,12.2682,240.216,458.5050282733732,0.6694,158.9522,878.9875
2024-05-28 10:00:00+08:00,27.1,67.48,268.2666,13.3728,254.8938,460.8028146883465,0.8235,198.9907,879.0
2024-05-28 10:15:00+08:00,27.55,65.8425,282.7365,14.3449,268.3915,463.5715461713336,1.0784,199.537,878.9725
2024-05-28 10:30:00+08:00,28.0,64.205,295.8402,15.1959,280.6443,466.3527358845035,1.3333,200.0833,878.945
2024-05-28 10:45:00+08:00,28.45,62.5675,307.5335,15.9347,291.5987,469.1464211434289,1.5881,200.6296,878.9175
2024-05-28 11:00:00+08:00,28.9,60.93,317.7807,16.5681,301.2126,471.95263931948375,1.843,201.1759,878.89
2024-05-28 11:15:00+08:00,29.325,59.2875,328.0034,17.2913,310.7121,474.6144980629442,1.8022,196.9122,878.6475
2024-05-28 11:30:00+08:00,29.75,57.645,336.8251,17.905,318.92,477.2876008178431,1.7615,192.6486,878.405
2024-05-28 11:45:00+08:00,30.175,56.0025,344.2166,18.4106,325.806,479.97197920372264,1.7207,188.3849,878.1625
2024-05-28 12:00:00+08:00,30.6,54.36,350.156,18.8087,331.3473,482.66766488452146,1.6799,184.1212,877.92
2024-05-28 12:15:00+08:00,30.9,53.2025,354.6286,19.0995,335.5291,484.5773269053865,1.6816,179.4487,877.6775
2024-05-28 12:30:00+08:00,31.2,52.045,357.6262,19.2826,338.3436,486.49264997507385,1.6833,174.7762,877.435
2024-05-28 12:45:00+08:00,31.5,50.8875,359.1478,19.3575,339.7903,488.41364527037797,1.6851,170.1037,877.1925
2024-05-28 13:00:00+08:00,31.8,49.73,359.1991,19.3234,339.8757,490.340323979116,1.6868,165.4312,876.95
2024-05-28 13:15:00+08:00,32.075,48.7075,359.431,19.3415,340.0895,492.11144841402086,1.7306,161.2295,876.6675
2024-05-28 13:30:00+08:00,32.35,47.685,358.2129,19.2463,338.9667,493.88736653904374,1.7743,157.0279,876.385
2024-05-28 13:45:00+08:00,32.625,46.6625,355.5502,19.0377,336.5125,495.6680869960612,1.818,152.8262,876.1025
2024-05-28 14:00:00+08:00,32.9,45.64,351.4546,18.7157,332.7389,497.4536184347332,1.8618,148.6246,875.82
2024-05-28 14:15:00+08:00,32.9,45.495,347.5213,18.4483,329.073,497.4536184347332,1.6777,153.7309,875.55
2024-05-28 14:30:00+08:00,32.9,45.35,342.1352,18.0731,324.0621,497.4536184347332,1.4936,158.8372,875.28
2024-05-28 14:45:00+08:00,32.9,45.205,335.3087,17.5903,317.7184,497.4536184347332,1.3096,163.9434,875.01
2024-05-28 15:00:00+08:00,32.9,45.06,327.0612,16.9998,310.0614,497.4536184347332,1.1255,169.0497,874.74
2024-05-28 15:15:00+08:00,32.775,45.7,318.8335,16.489,302.3445,496.6414162799535,1.05,182.0678,874.5125
2024-05-28 15:30:00+08:00,32.65,46.34,309.1341,15.8792,293.2549,495.830209105012,0.9746,195.0859,874.285
2024-05-28 15:45:00+08:00,32.525,46.98,297.9873,15.1665,282.8208,495.0199960969834,0.8992,208.1041,874.0575
2024-05-28 16:00:00+08:00,32.4,47.62,285.4257,14.3452,271.0805,494.2107764432748,0.8237,221.1222,873.83
2024-05-28 16:15:00+08:00,32.4,47.8025,270.3273,13.1963,257.131,494.2107764432748,0.9439,231.8456,873.6325
2024-05-28 16:30:00+08:00,32.4,47.985,254.0548,11.9181,242.1366,494.2107764432748,1.064,242.5689,873.435
2024-05-28 16:45:00+08:00,32.4,48.1675,236.6801,10.5041,226.176,494.2107764432748,1.1842,253.2923,873.2375
2024-05-28 17:00:00+08:00,32.4,48.35,218.2837,8.9468,209.3368,494.2107764432748,1.3044,264.0157,873.04
2024-05-28 17:15:00+08:00,32.1,49.6175,198.1143,7.043,191.0713,492.27269730012773,1.2628,274.9395,873.0675
2024-05-28 17:30:00+08:00,31.8,50.885,177.2925,5.0058,172.2867,490.340323979116,1.2212,285.8633,873.095
2024-05-28 17:45:00+08:00,31.5,52.1525,155.9419,2.8468,153.0951,488.41364527037797,1.1797,296.7872,873.1225
2024-05-28 18:00:00+08:00,31.2,53.42,134.2041,0.591,133.6131,486.49264997507385,1.1381,307.711,873.15
2024-05-28 18:15:00+08:00,30.95,54.6825,112.2478,0.0,112.2478,484.89615398690466,1.2558,316.2246,873.2075
2024-05-28 18:30:00+08:00,30.7,55.945,90.2875,0.0,90.2875,483.3035905755237,1.3736,324.7382,873.265
2024-05-28 18:45:00+08:00,30.45,57.2075,68.6194,0.0,68.6194,481.7149532776625,1.4913,333.2517,873.3225
2024-05-28 19:00:00+08:00,30.2,58.47,47.7008,0.0,47.7008,480.1302356353683,1.6091,341.7653,873.38
2024-05-28 19:15:00+08:00,29.825,60.0975,28.3338,0.0,28.3338,477.76049441242463,1.7976,345.6773,873.5025
2024-05-28 19:30:00+08:00,29.45,61.725,12.0991,0.0,12.0991,475.3995361420937,1.986,349.5892,873.625
2024-05-28 19:45:00+08:00,29.075,63.3525,2.0509,0.0,2.0509,473.0473390960605,2.1745,353.5012,873.7475
2024-05-28 20:00:00+08:00,28.7,64.98,0.0,0.0,0.0,470.7038815729206,2.3629,357.4132,873.87
2024-05-28 20:15:00+08:00,28.45,65.755,0.0,0.0,0.0,469.1464211434289,2.3274,269.4316,874.085
2024-05-28 20:30:00+08:00,28.2,66.53,0.0,0.0,0.0,467.5928288972442,2.292,181.4501,874.3
2024-05-28 20:45:00+08:00,27.95,67.305,0.0,0.0,0.0,466.0430984242542,2.2565,93.4685,874.515
2024-05-28 21:00:00+08:00,27.7,68.08,0.0,0.0,0.0,464.49722331966257,2.2211,5.487,874.73
2024-05-28 21:15:00+08:00,27.525,68.5,0.0,0.0,0.0,463.41740126350965,2.198,7.7292,874.925
2024-05-28 21:30:00+08:00,27.35,68.92,0.0,0.0,0.0,462.33946300854376,2.1749,9.9713,875.12
2024-05-28 21:45:00+08:00,27.175,69.34,0.0,0.0,0.0,461.2634063625681,2.1519,12.2134,875.315
2024-05-28 22:00:00+08:00,27.0,69.76,0.0,0.0,0.0,460.18922913466355,2.1288,14.4556,875.51
2024-05-28 22:15:00+08:00,26.85,70.1225,0.0,0.0,0.0,459.27,2.1197,16.8368,875.69
2024-05-28 22:30:00+08:00,26.7,70.485,0.0,0.0,0.0,458.3521486753935,2.1106,19.2181,875.87
2024-05-28 22:45:00+08:00,26.55,70.8475,0.0,0.0,0.0,457.4356737833792,2.1016,21.5994,876.05
2024-05-28 23:00:00+08:00,26.4,71.21,0.0,0.0,0.0,456.52057394717974,2.0925,23.9806,876.23
2024-05-28 23:15:00+08:00,26.25,71.5125,0.0,0.0,0.0,455.6068477907082,1.9882,26.1468,876.2125
2024-05-28 23:30:00+08:00,26.1,71.815,0.0,0.0,0.0,454.69449393856524,1.884,28.313,876.195
2024-05-28 23:45:00+08:00,25.95,72.1175,0.0,0.0,0.0,453.7835110160406,1.7797,30.4791,876.1775